county,jurisdiction,level,status,action_type,covers,duration_label,duration_days,adopted_date,effective_date,expiration_date,expiration_is_inferred,rationale,source_url,source_org,confidence,in_source_doc,revised_from_source_doc,notes,update_kind,researched_on,change_summary,needs_confirmation,expiration_note
Nash,Town of Whitakers,municipal,adopted,moratorium (terms unknown),data centers,unknown,,,,,,Reported alongside Nashville and Bailey as one of three Nash County towns to pause data centers.,https://www.rockymounttelegram.com/news/local/nash-county-enacts-temporary-moratorium-on-data-centers/article_4d5364c9-c321-4c2a-8364-b516b4073cdc.html,Rocky Mount Telegram,low,FALSE,,"NEW RECORD 2026-09-24: the Telegram's September 9 report on Nash County says 'the towns of Nashville, Bailey and Whitakers all have instituted moratoriums on data centers'. The town straddles the Nash and Edgecombe county line and is mapped by its municipal boundary. Edgecombe County's own two-year moratorium is a separate record.",new,2026-09-24,Reported to have a moratorium in place; date and length not published.,"The Rocky Mount Telegram states the town has a moratorium and a specialist newsletter dates it to June 2026, but no date, length, ordinance or minutes could be found; the town's website lists no 2026 minutes.",
Wake,City of Raleigh,municipal,pending_vote,proposed moratorium,data center development,6 months (proposed),,,,,,Council moved after a developer withdrew a southeast Raleigh data center proposal.,https://www.wunc.org/environment/2026-09-16/raleigh-cary-data-center-moratorium,WUNC,high,FALSE,TRUE,"UPDATE 2026-09-20: on 2026-09-15 the City Council directed the city attorney to draft a six-month moratorium, with a vote scheduled for 2026-10-06. Nothing is in force in Raleigh yet. Wake County itself has taken no action; Apex, Cary, Holly Springs and Wendell are separate records.",revised,2026-09-20,Council directed a six-month moratorium to be drafted 2026-09-15; vote set for 2026-10-06.,,
Guilford,Guilford County,county,pending_vote,"moratorium, public hearing scheduled",new data center projects in unincorporated Guilford County,up to 180 days (proposed),,,,,,Commissioners want time to write data center regulations; no application for a major facility is pending.,https://www.rhinotimes.com/featured-article/guilford-commissioners-take-first-step-toward-data-center-moratorium/,Rhino Times,high,FALSE,,"UPDATE 2026-09-20: unanimous vote on 2026-09-17 to schedule a legislative public hearing for 2026-10-15 and to direct staff to prepare the ordinance. Nothing is in force at county level. Greensboro's own 180-day moratorium, adopted 2026-08-18, is a separate record.",revised,2026-09-20,Voted 2026-09-17 to schedule an Oct. 15 hearing on a moratorium of up to 180 days.,,
Beaufort,Beaufort County,county,pending_vote,"moratorium, public hearing scheduled","acceptance, processing and approval of all new data center applications (proposed)",1 year (proposed),,,,,,"Residents raised water use, energy demand and farmland loss.",https://www.witn.com/2026/09/13/beaufort-county-data-center-moratorium-hearing-postponed-officials-say/,WITN / Public Radio East / WCTI,high,FALSE,,UPDATE 2026-09-20: the official hearing and vote set for September were postponed to give residents more time; an informal comment session went ahead. The final hearing and vote are scheduled for 2026-10-05 at 5:30 p.m. Nothing is in force.,revised,2026-09-20,Vote on a proposed one-year moratorium postponed to 2026-10-05.,,
Halifax,Halifax County,county,pending_vote,"moratorium, public hearing scheduled",,unknown,,,,,,The board scheduled a legislative hearing on a pause days after approving an amended economic development agreement for an AI data center near Enfield.,https://www.rrdailyherald.com/news/local/,The Daily Herald (Roanoke Rapids),medium-high,FALSE,,"UPDATE 2026-09-20: The Daily Herald reports commissioners voted 5-1 to set a legislative hearing for 2026-10-19, with County Attorney Glynn Rollins noting the zoning ordinance does not regulate data centers; a specialist newsletter reports the same vote and date. The same board approved an amended economic development agreement covering a $1.7 million sale of about 251 acres at the 301 Industrial Site near Enfield to Quiet Data Centers Halifax, so the pause and the project are moving in parallel. The county's public notices page did not yet carry the hearing notice when checked on 2026-09-20. Nothing is in force.",revised,2026-09-20,Voted 5-1 to schedule an Oct. 19 hearing on a possible moratorium.,,
Forsyth,Forsyth County,county,proposed,moratorium under preparation,new hyperscale data center approvals (proposed),6 months (proposed),,,,,,Commissioners asked for a pause to study standards after rejecting a large data center in Rural Hall earlier in 2026.,https://citizenportal.ai/articles/9965963/North-Carolina/Forsyth-County/Forsyth-County-commissioners-weigh-moratorium-as-staff-lays-out-zoning-utility-and-legal-limits-for-data-centers,Citizen Portal meeting coverage / Winston-Salem Journal,medium,FALSE,,"UPDATE 2026-09-24: staff briefed the board on zoning, utility and legal limits (the county attorney warned that state law restricts downzoning) and were asked to return with tax estimates, legal language and milestones. A 4-3 straw vote directed staff to put a six-month moratorium on the September 28 agenda for discussion and possible action. Reports place the meeting on Monday, September 14, 2026; one meeting-coverage report says September 17 but was itself published September 15. The Winston-Salem Journal reported the board 'one step closer' to a six-month moratorium. Nothing is in force. Winston-Salem has taken no action.",revised,2026-09-24,Straw vote 4-3 on 2026-09-14 to have staff prepare a possible six-month moratorium for 2026-09-28.,,
Perquimans,Perquimans County,county,pending_vote,"moratorium, public hearing held, outcome not published",special use permits and other development approvals for data centers and cryptocurrency mining (proposed),1 year (proposed),,,,,,"Public hearing 2026-09-08, 7:00 p.m., Perquimans County Library, covering a data center moratorium alongside a lawn maintenance ordinance and a flood prevention update.",https://www.perquimanscountync.gov/board-of-commissioners,Perquimans County official public hearing notice,medium,TRUE,FALSE,"UPDATE 2026-09-24: the draft ordinance posted with the September 8 packet would impose a one-year moratorium from September 8, 2026 to September 7, 2027 on special use permits and other approvals for data centers and cryptocurrency mining, with a 12-month study schedule. It is drafted for adoption that night, but no minutes or coverage confirm a vote; the most recent posted minutes are from July. Treat this as an open question, not as a rejection.",revised,2026-09-24,"The 2026-09-08 hearing went ahead on a one-year draft, but the outcome has not been published.","The advertised public hearing on 2026-09-08 appears to have gone ahead, but the county has posted no minutes and no outlet covered it, so whether the moratorium was adopted is unknown.",
Mecklenburg,City of Charlotte,municipal,adopted,moratorium,data centers (projects already in the development pipeline exempt),150 days,150,2026-06-08,,2026-11-05,FALSE,"Council wanted to 'review and understand and align on the facts' before setting growth policy; electricity costs and rates, water usage and noise raised around a proposed American Towers facility.",https://www.wfae.org/2026-09-08/charlotte-could-extend-data-center-moratorium,WFAE / City of Charlotte council agendas (Legistar),high,TRUE,TRUE,"UPDATE 2026-09-20: the 150-day moratorium adopted 2026-06-08 still shows a printed end date of 2026-11-05. On 2026-09-08 the Transportation, Planning and Development Committee approved staff's request to seek nine more months to finish work on air-pollution monitoring and noise limits, and WFAE reported a full council vote set for 2026-09-14. The council's own agenda system (Legistar) records no data center or moratorium item among the 70 items on the 2026-09-14 business meeting agenda, whose other items carry recorded actions, nor on the 2026-09-21 zoning and special meetings, so the extension had not been voted as of 2026-09-20.",revised,2026-09-20,A nine-month extension is still pending: it never reached the council's 2026-09-14 agenda.,,"A nine-month extension has been proposed but not voted: no data center item appears on the council's published agendas through 2026-09-21. If it passes before 2026-11-05, this end date moves."
Lincoln,City of Lincolnton,municipal,deferred,moratorium decision postponed,data centers,1 year (proposed),365,,,,,Council postponed a decision on the planning department's recommended one-year moratorium to a September 2026 meeting; Mayor Ed Hatley suggested possibly shortening any moratorium to 3-6 months and hiring a consultant.,https://www.lincolntimesnews.com/news/city-delays-decision-on-data-center-option/article_51ea16da-fc08-43d9-93a3-ef4190f93416.html,Lincoln Times-News,medium,TRUE,TRUE,"UPDATE 2026-09-20: the council voted 3-1 on 2026-08-06 to postpone the planning department's recommended one-year moratorium and to resume the public hearing in September 2026. No coverage of a September vote was found, so the decision appears to be still open. Lincoln County itself has taken no action.",revised,2026-09-20,Re-checked: no report of the September vote the council promised.,,
Pasquotank,Pasquotank County,county,adopted,moratorium,data centers,12 months,365,2026-05-18,,2027-05-18,TRUE,'A 12-month moratorium will ensure that we could have adequate time to develop regulations for these types of developments'; existing zoning allowed approval without full review.,https://www.dailyadvance.com/news/local/county-puts-12-month-freeze-on-data-center-development/article_8c03c9d3-1683-4cd2-87f0-337124c82510.html,The Daily Advance,high,TRUE,TRUE,UPDATE 2026-09-20: the 12-month moratorium adopted 2026-05-18 stands. At the commissioners' 2026-09-14 meeting a final draft unified development ordinance was presented that would prohibit data centers outright; it has not been adopted. Reported by The Daily Advance ('EC eyes data center ordinance as county moves to ban them').,revised,2026-09-20,Still in effect; a draft UDO that would ban data centers outright went public 2026-09-14.,,
Watauga,Watauga County,county,adopted,moratorium,"data centers, crypto mining facilities and similar uses",1 year,365,2026-04-21,,2027-04-21,TRUE,"Commissioners cited grid capacity, water use of roughly 1.5 million gallons per day, diesel generator noise and air pollution, and minimal job creation.",https://www.wataugacounty.org/App_Pages/Dept/BOC/Forms/Minutes/2026-04-21%20BCC%20Minutes%20(with%20Tax%20Documents).pdf,Watauga County Board of Commissioners minutes / Watauga Democrat / WataugaOnline,high,FALSE,TRUE,"UPDATE 2026-09-24: the county's April 21, 2026 minutes are now retrievable. After the public hearing, Commissioner Marsh moved and Vice-Chairman Castle seconded a moratorium on data centers; the vote was 5-0, then amended 5-0 to add the statutory findings: it applies to data centers, crypto mining facilities and similar uses, terminates one year after adoption, and directs planning staff to draft rules under the High Impact Land Use ordinance. The minutes give the term, not a calendar date, so 2027-04-21 is arithmetic. The Town of Boone's own moratorium (March 23) is a separate record.",revised,2026-09-24,County minutes now retrieved: adopted 5-0 on 2026-04-21 for one year.,,
Clay,Clay County,county,permanent_ban,permanent ordinance ban,"commercial data centers with a peak power demand of 2 megawatts or more, in unincorporated Clay County",permanent (not a moratorium),,2026-01-08,2026-01-08,,,"The ordinance states its purpose as protecting the health, safety and general welfare of county residents by prohibiting commercial data centers, including those supporting artificial intelligence.",https://citizenportal.ai/articles/7710832/North-Carolina/Clay-County/Clay-County-commissioners-unanimously-ban-commercial-data-centers,Citizen Portal meeting coverage / Clay County Progress / Clay County ordinances page,medium-high,TRUE,TRUE,"UPDATE 2026-09-24: coverage of the January 8, 2026 board meeting records County Attorney Merinda Woody reading the ordinance after a public hearing, a motion by Commissioner Clay Logan seconded by Commissioner Randy Nichols, and a 5-0 vote. The Clay County Progress published the ordinance text: commercial data centers of 2 megawatts or more are prohibited from establishing, constructing, expanding or operating in unincorporated Clay County, effective January 8, 2026 (that page was indexed by search engines but returned an error when checked). The county's ordinances page lists the ordinance as an image-only PDF. Do not confuse with Clay County, Florida, which adopted a separate one-year moratorium in 2026.",revised,2026-09-24,"Adoption date and permanence now documented: 5-0 on 2026-01-08, a permanent ban on 2 MW and larger.",,
Nash,Town of Bailey,municipal,adopted,moratorium,data centers (a definition critics called broad enough to reach ordinary business computer networks),10 months,304,2026-05-18,,2027-03-18,TRUE,Modeled on Spring Hope's one-year moratorium; meant to block AI data centers because of their electricity and water use.,https://www.springhopeenterprise.com/news/bailey-board-adopts-data-center-moratorium-363ab088,Spring Hope Enterprise,medium-high,FALSE,TRUE,"UPDATE 2026-09-24: no longer a single-tracker claim. The Spring Hope Enterprise (May 26, 2026, Corey Friedman) reports the Board of Commissioners passed Resolution 2026-02 on Monday, May 18, 2026 by a 3-1 vote, presented by zoning administrator Shawn Lucas; Commissioner David Evans objected that the definition of data center was too broad. End date is arithmetic (10 months). Nash County's own moratorium covers only unincorporated areas, so this record stands on its own.",revised,2026-09-24,Confirmed by the Spring Hope Enterprise: 3-1 vote on 2026-05-18 for 10 months.,,
