county,jurisdiction,level,status,action_type,covers,duration_label,duration_days,adopted_date,effective_date,expiration_date,expiration_is_inferred,rationale,source_url,source_org,confidence,in_source_doc,revised_from_source_doc,notes
Brunswick,Town of Boiling Spring Lakes,municipal,adopted,moratorium,data centers,12 months,365,2026-06-02,,2027-06-02,TRUE,Town Manager Gordon Hargrove: 'The primary reason is that our development ordinances do not address data centers.' Brunswick County is growing fast with existing water/sewer strain; updated rules would keep an unwieldy project from straining resources further.,https://www.cityofbsl.org/news/clarification-regarding-proposed-data-center-moratorium,City of Boiling Spring Lakes (official) / Carolina Public Press,high,TRUE,TRUE,"PASSAGE CONFIRMED 2026-08-28 from official minutes (cityofbsl.org/sites/default/files/uploads/minutes/26-0602-boc.pdf): Commissioner Sherwood moved to approve a temporary twelve-month moratorium on data centers, data processing, cryptocurrency mining and related uses; 'Vote 4-0; Motion Carried.' DATE CONFLICT REMAINS: minutes and the city's hearing notice say 2026-06-02; Carolina Public Press reports passage 2026-06-10. Expiration not printed in the minutes — it is in the ordinance exhibit in the June 2 agenda packet."
Buncombe,Buncombe County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Buncombe,City of Asheville,municipal,adopted,moratorium,data centers,1 year,365,2026-06-23,,2027-06-23,TRUE,Time to study and develop policies on water consumption and energy use. Council Member Maggie Ullman: 'We didn't spend decades becoming an amazing arts community... so we could become a warehouse district for AI.',https://mountainx.com/news/local-government/council-approves-one-year-moratorium-on-data-centers/,Mountain Xpress,high,TRUE,TRUE,"Exact date added. City Attorney Brad Branham noted NC law requires a valid purpose, reasonable duration and an established end date; the specific calendar end date was not printed."
Buncombe,Town of Black Mountain,municipal,regulated_no_moratorium,permanent zoning rules adopted; moratorium language being drafted,"data centers limited to heavy industrial zones, quarter-mile setback from residences/schools/places of worship, 50 dB nighttime cap at property line",permanent regulations,,2026-05-11,,,,,https://mountainx.com/woodfin-black-mountain-approve-data-center-restrictions-and-other-updates-from-around-buncombe/,Mountain Xpress,high,FALSE,TRUE,"NOT IN SOURCE DOC. Dual status: regulation adopted 2026-05-11, and council separately directed staff to draft moratorium language. Watch item."
Buncombe,Town of Weaverville,municipal,regulated_no_moratorium,permanent zoning reclassification instead of moratorium,"cryptocurrency mining and data centers reclassified as 'noxious uses', confined to industrial zones via conditional district review",permanent regulations,,2026-04-27,,,,,https://mountainx.com/news/local-government/weaverville-town-council-votes-to-rein-in-data-center-development-and-other-updates-from-around-buncombe/,Mountain Xpress,high,FALSE,TRUE,NOT IN SOURCE DOC. Unanimous 2026-04-27. Some headlines call this a 'ban' — it is not; it is a conditional-use restriction.
Buncombe,Town of Woodfin,municipal,adopted,moratorium,data centers,12 months,365,2026-05-19,,2027-05-19,TRUE,"Town Manager Shannon Tuch: the technology 'is a very rapidly evolving landscape... we really do need the time to understand how those operations work, what can we regulate lawfully, what is reasonable.' Electricity demand, water use, noise, light pollution and infrastructure strain cited.",https://mountainx.com/woodfin-black-mountain-approve-data-center-restrictions-and-other-updates-from-around-buncombe/,Mountain Xpress,high,TRUE,TRUE,"Exact date added. Ordinance 2026-04, unanimous 5-0. Runs alongside the town's Land Development Ordinance update."
Burke,Burke County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Cabarrus,Cabarrus County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Caldwell,Caldwell County,county,none,no moratorium; county approved data center incentives,,,,,,,,County/Lenoir approved an economic development incentive for a Google data center project.,https://www.cityoflenoir.com/CivicAlerts.aspx?AID=498,City of Lenoir (official),medium,TRUE,TRUE,"MAJOR CORRECTION: the source doc's 'suspended tax abatements for data centers' claim, and its kvue.com link, are about Caldwell County, TEXAS (Austin area). No NC vote suspending data-center tax abatements was found. Caldwell County NC actually moved the opposite direction. A community group (Caldwell Data Center Action Team, caldwelldcat.org) is pushing for a moratorium."
Camden,Camden County,county,adopted,moratorium,data centers; cryptocurrency mining; data processing,5 months,153,2026-08-03,2026-08-03,2027-01-03,FALSE,"Crypto mining, data processing and data-center uses were unlisted in the county's Unified Development Ordinance, leaving no standards; pause allows the county to define the uses and adopt UDO standards.",https://www.dailyadvance.com/news/local/camden-oks-one-year-moratorium-on-data-centers/article_d9157102-5e38-42bc-b612-c66882fe92b5.html,The Daily Advance,high,TRUE,FALSE,"WARNING: the article HEADLINE says 'one-year' but the BODY says 5 months, Aug 3 2026 - Jan 3 2027 (or sooner if UDO amendments finish). Body text is authoritative. Source doc's '5-month' figure is correct."
Carteret,Carteret County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Caswell,Caswell County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Catawba,Catawba County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Chatham,Chatham County,county,adopted,moratorium,data centers; data processing facilities; cryptocurrency mining,12 months,365,2026-02-11,,2027-02-11,TRUE,"Chair Amanda Robertson: 'This temporary moratorium allows us the time we need to properly investigate and plan ahead' to protect residents, natural resources and quality of life.",https://www.chathamcountync.gov/Home/Components/News/News/17295/19,Chatham County (official),high,TRUE,TRUE,"Exact adoption date added. Applies to unincorporated Chatham only, NOT municipal ETJs (Pittsboro, Siler City not covered; neither adopted its own). County is being sued by Eco TIP West LLC over a 750MW project at Triangle Innovation Point near Moncure."
Cherokee,Cherokee County,county,none,prior crypto-mining moratorium lapsed; renewal stalled,,,,,,,,"Commissioner Ben Adams pushed to renew and broaden the county's expired crypto-mining moratorium to cover AI data centers, but 'in the end, nothing happened that evening'; he was instead reconvening the planning board to draft an ordinance.",https://www.wunc.org/2026-04-10/cherokee-county-residents-were-upset-about-crypto-mines-then-came-ai,WUNC,high,TRUE,TRUE,"MAJOR CORRECTION: the source doc's '180-day moratorium (Aug 2026) extending a 30-day moratorium (July 21)' and its tribuneledgernews.com link are about Cherokee County, GEORGIA (Cherokee Tribune, Canton GA; 30-day approved 2026-07-21, 180-day extension approved 2026-08-19). NC Cherokee County has NO current data center moratorium; its ~Oct 2023 1-year crypto moratorium expired unrenewed. UPDATE 2026-08-28: a draft 'High-Impact Land Use Ordinance' went before the Planning Board 2026-07-14 defining DATA PROCESSING FACILITY and CRYPTOMINE as high-impact uses requiring commissioner authorization, with a 2,000-foot separation from protected sites plus electrical-load and water-consumption limits. Permanent regulation, not a moratorium; no motions recorded. SEPARATE ACTION 2026-08-29: the TOWN OF MURPHY (Cherokee County seat) adopted a CRYPTO-MINING ban on 2026-08-12, unanimous — Town Manager Chad Simons confirms it is SILENT on AI data centers. Do not count Murphy as a data center moratorium; GovTech's comparison table lists it beside Clay County, which invites exactly that error."
Chowan,Chowan County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Clay,Clay County,county,permanent_ban,permanent ordinance ban,commercial data centers; cryptocurrency mining,permanent (not a moratorium),,2026-01-08,,,,Not confirmed with a direct quote; ordinance is titled 'Ordinance Prohibiting Commercial Data Centers from Operating in Clay County.',https://www.clayconc.com/ordinances,Clay County NC (official ordinances page),low,TRUE,TRUE,"MAJOR CORRECTION: the source doc's '1-year moratorium, September 2025' matches Clay County, FLORIDA (approved 2026-06-24), not NC. Clay County NC's documented action is a permanent ban ordinance, date ~2026-01-08 per a third-party tracker; the county's own page lists the ordinance undated. VERIFY WITH COUNTY CLERK before citing."
Cleveland,Cleveland County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Cleveland,City of Kings Mountain,municipal,adopted,moratorium,new data centers,"182 days, then extended (terms unconfirmed)",182,2026-02-24,,,,City had received developer inquiries and its unified development ordinance lacked definitions and standards for data centers; council wanted to study water-supply and energy-use impacts.,https://www.wfae.org/politics/2026-02-26/kings-mountain-approves-six-month-moratorium-on-new-data-centers,WFAE,medium,TRUE,TRUE,"NOT LAPSED — council voted to EXTEND at its 2026-08-25 regular meeting, but the extension's DURATION AND NEW EXPIRATION ARE UNKNOWN. Do not state either. Original Ordinance 26-11 adopted 2026-02-24; Planning Director Henry Earle read the G.S. 160D-107(d) statements into the record, including: 'The desired duration of the moratorium is 182 days, which will culminate at a public hearing on August 25, 2026' — so the original termination date IS documented (2026-08-25), it is simply superseded. Aug 25 minutes not yet posted (expect ~1 month; Feb minutes are id 934, so watch for ~id 990 at cityofkm.com/AgendaCenter). Queen City News reported the extension but 403s to automated access. HIGHEST-PRIORITY RECORDS REQUEST: this is the only in-force NC jurisdiction whose current terms are entirely unknown."
Columbus,Columbus County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Craven,Craven County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Cumberland,Cumberland County,county,adopted,moratorium,data centers; cryptocurrency mining,6 months,182,2026-06-15,2026-06-16,2026-12-15,FALSE,"Pause new construction so the county can develop standards on water, power, noise and siting near neighborhoods, schools and Fort Bragg.",https://www.cityviewnc.com/stories/cumberland-county-enacts-6-month-data-center-moratorium/,CityView NC,high,FALSE,TRUE,NOT IN SOURCE DOC. This is the real Cumberland-area moratorium; the doc's 'Fayetteville 120-day pause' is a different and mischaracterized action (see Fayetteville row).
Cumberland,City of Fayetteville,municipal,rejected,moratorium rejected; regulations deferred,,,,,,,,No moratorium on data center development has ever taken effect in Fayetteville.,https://cardinalpine.com/news/fayetteville-passes-on-data-center-moratorium/,Cardinal & Pine / CityView NC,high,TRUE,TRUE,"MAJOR CORRECTION: source doc says 'Fayetteville 120-day pause (May 2026).' Actual record: 2026-04-13 council voted 5-4 to study a moratorium; 2026-04-27 voted 6-3 NOT to adopt one, approving 4 months of staff research instead (the likely origin of '120-day' - it paused CONSIDERATION, not development); 2026-08-10 council voted 7-3 to punt revised regulations to late October and a moratorium motion failed 5-5. See the Cumberland County row for the real 6-month moratorium."
Currituck,Currituck County,county,studying,information-gathering work session only,,,,,,,,County held a data center work session for information gathering.,https://currituckcountync.gov/news/data-center-work-session-held-for-information-gathering/,Currituck County (official),high,TRUE,FALSE,No moratorium.
Dare,Dare County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Davidson,Davidson County,county,rejected,moratorium FAILED on a 3-3 tie,data centers,at least 6 months (proposed),182,,,,,Commissioner Yates said data centers 'cannot be stopped'; the board opted to gather information instead.,https://www.davidsonlocal.com/news/4x8dnij67jq81i6aguer6ip6jfa3h8,Davidson Local,high,TRUE,FALSE,"RESOLVED 2026-08-24 — the hearing did happen and the 6-month moratorium FAILED on a 3-3 tie. For: Elliott, Kester, Mizell. Against: Watford, Yates, Shell. ABSENT: Fred McClure — the tie is an artifact of one absence, so this is revivable. No future vote scheduled. NAME CORRECTION 2026-08-29: Karen Watford is CHAIR and Todd Yates is VICE CHAIR (per the county's own Aug 24 2026 meeting record) — some coverage phrases it as though Yates chairs. The 3-3 tally itself is single-sourced (DavidsonLocal); minutes not yet posted. Verify before putting the tally on a slide."
Davie,Davie County,county,adopted,moratorium,data centers,1 year,365,2026-07-06,,2027-07-06,TRUE,"Unanimous vote after public testimony on protecting rural character and farmland per the county's 2040 Comprehensive Plan; noise, water resources and power-grid strain cited.",https://ourdavie.com/2026/07/09/county-approves-one-year-ban-on-data-centers/,Davie County Enterprise Record / WFDD,high,TRUE,TRUE,Exact date added. One source phrased expiration as 2027-07-05; treat as on or about 2027-07-06.
Duplin,Duplin County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Durham,Durham County,county,adopted,moratorium,"new or expanded data centers; exempt only if UNDER 100,000 sq ft AND closed-loop cooling AND no diesel backup generators",9 months,273,2026-08-24,,2027-05-18,FALSE,"Commissioner Wendy Jacobs on the exemption threshold: 'We will not be allowing hyperscale data centers if we do these exemptions.' Chair Mike Lee: 'The spirit of what we have here satisfies what it is that I want to make sure that we're preventing.' Staff will study facility size, electrical load, cooling technology, backup generator emissions and phasing standards. Term was set to align with the City of Durham's moratorium so the two jurisdictions can coordinate regulatory approaches.",https://durhamcounty.legistar.com/Gateway.aspx?M=F&ID=6f143440-6568-4b0a-b33b-3accd7f31a4e.docx,Durham County Legistar — adopted ordinance (Matter 26-0437),high,TRUE,TRUE,"EXPIRATION RESOLVED 2026-08-29 from the ordinance: 'This moratorium shall begin on August 25, 2026 and shall last until May 18, 2027, or upon adoption by the Board of amendments to the Durham UDO establishing standards for Covered Uses, whichever occurs first.' PRINTED DATE IS 2027-05-18 — arithmetic (adoption + 9 months) gives 2027-05-25, so the estimate was 7 days WRONG. Ordinance closes 'Adopted, this the 24th day of August, 2026'; moratorium BEGINS Aug 25, which is the source of the 8/24 vs 8/25 confusion in coverage. Vote 4-1, Nida Allam dissenting. EXEMPTION IS NARROWER THAN FIRST REPORTED: not size alone — under 100k sq ft AND closed-loop cooling AND no diesel backup. Draft regulations go to a joint city-county committee in December 2026."
Durham,City of Durham,municipal,adopted,"moratorium (initial 60-day, then extended)",data centers,"60 days, extended to 12 months total",365,2026-05-04,,2027-05-03,FALSE,"Water quality and quantity, noise, air pollution, rising ratepayer electricity costs, and inefficient land use versus housing. 60 days was chosen because Durham's UDO caps longer moratoria absent joint city-county planning commission review.",https://cityordinances.durhamnc.gov/OnBaseAgendaOnline/,City of Durham OnBase — adopted ordinance (Attachment A),high,FALSE,TRUE,"RESOLVED 2026-08-29 from the extension ordinance itself. Original (adopted 2026-05-04) printed 'expiring no later than July 3, 2026'. Extension adopted 2026-06-15, vote 7-0: 'The May 4, 2026 temporary moratorium is hereby extended commencing on July 4, 2026 and expiring no later than May 3, 2027, or on approval of new zoning regulation...' Seamless with the original. NOTE: printed date is May 3, NOT the May 4 that arithmetic gives. Durham's UDO caps moratoria at 12 months, which is why council could not get the 24 some members wanted."
Edgecombe,Edgecombe County,county,adopted,moratorium,large-scale data centers,2 years,730,2026-08-03,,2028-08-03,TRUE,"Buy time to reassess the Unified Development Ordinance and other development ordinances; water/groundwater protection, noise, electricity demand and preserving rural character cited.",https://www.reflector.com/apgstate/commissioners-approve-two-year-moratorium-on-data-centers/article_d746111c-f601-5252-9055-22af0e2b292e.html,The Daily Reflector / Sound Rivers,medium-high,TRUE,TRUE,"ADOPTION DATE CONFIRMED 2026-08-03 from the county's own agenda (Public Hearing #2, a Monday); the 'Aug 6/7' dates in circulation are typos. Vote 5-0 (Wiggins chair, Harris, Powell, Thorne, Woodley; Boswell and Webb absent). County Manager's memo reproduces G.S. 160D-107 in full and advises an early-termination clause, so the ordinance likely ends early if the ordinance work finishes."
Forsyth,Forsyth County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Franklin,Franklin County,county,none,no action found,,,,,,,,,https://highlandsnews.com/news/333533/macon-county-residents-ask-for-data-center-moratorium/,The Highlander (syndicated version of the Franklin Press story),high,TRUE,TRUE,"RESOLVED 2026-08-28 — the Franklin Press article was MACON COUNTY, not Franklin County. The same story ran in the sister paper as 'Macon County residents ask for data center moratorium', with a caption placing the speaker at the Aug 11 Macon commissioners meeting. Franklin County NC (Louisburg) shows no data center moratorium activity; it is absent from every statewide tracker."
Gaston,Gaston County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Gates,Gates County,county,adopted,moratorium,data centers,1 year,365,2025-12-17,,2026-12-17,TRUE,"High energy consumption and utility-infrastructure strain, cooling/generator noise, high water use, hazardous materials and e-waste, and no zoning performance standards for the use.",https://albemarleobserver.news/2025/12/20/concerns-rise-as-gates-county-halts-data-center-approvals/,Albemarle Observer,medium,TRUE,TRUE,"DATE CORRECTED: adopted 2025-12-17 at a special meeting, not 'early 2026' as the source doc states. County's posted ordinance PDF has blank adoption/expiration fields (template, not signed record)."
Graham,Graham County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Granville,Granville County,county,none,county communication on data centers,,,,,,,,,https://www.granvillecounty.org/m/newsflash/home/detail/624,Granville County (official),medium,TRUE,FALSE,No moratorium found.
Greene,Greene County,county,citizen_request,residents urged commissioners to consider a moratorium,,,,,,,,Residents urged Greene County commissioners to consider a data center moratorium.,https://www.neusenews.com/index/2026/8/18/residents-urge-greene-county-commissioners-to-consider-data-center-moratorium,Neuse News,high,TRUE,FALSE,No moratorium adopted as of 2026-08-21.
Guilford,Guilford County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Guilford,City of Greensboro,municipal,adopted,moratorium,data centers / data storage & processing facilities with electrical demand over 10 MW,180 days,180,2026-08-18,,2027-02-14,FALSE,"Mayor Marikay Abuzuaiter: 'The goal is to ensure that any future regulations are thoughtful, well-informed, and responsive to the needs of Greensboro and its residents.'",https://www.greensboro-nc.gov/Home/Components/News/News/22889/,City of Greensboro (official),high,TRUE,TRUE,Exact date added. Vote 8-0 with one recusal. Council extended from an initially considered 120 days to 180 after public feedback. Council had REJECTED an earlier moratorium proposal ~2026-07-21 before reversing. Existing permitted/under-construction projects unaffected. One aggregator wrongly reports 120 days.
Halifax,Halifax County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Harnett,Harnett County,county,adopted,moratorium,data centers,1 year,365,2026-05-04,,2027-05-04,TRUE,"County Manager Brent Trout cited high electricity and water use, hard-to-treat wastewater, noise and low employment per acre; time needed to add a data-center section to the UDO and build utility capacity.",https://www.sanfordherald.com/archives/harnett-commissioners-approve-one-year-data-center-moratorium/article_17ded063-c0fe-548e-bab0-20cd6df6c922.html,The Sanford Herald,high,TRUE,TRUE,"Source URL added. One outlet reported 'Monday, May 5' with a 2027-05-03 expiration; May 4 2026 is the Monday, so May 4 is used."
Haywood,Haywood County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Haywood,Town of Canton,municipal,adopted,moratorium,data centers; cryptocurrency mining,12 months,365,2026-02-11,,2027-02-11,TRUE,Mayor Zeb Smathers: 'We want to make the highest and best use of our resources'; 'The post-mill Canton only gets a few chances to get what our future looks like right.' Water strain on farms and few replacement jobs after the paper mill closure cited.,https://www.bpr.org/climate-environment/2026-02-12/canton-passes-a-12-month-moratorium-on-data-centers-and-cryptocurrency-mining,Blue Ridge Public Radio,high,TRUE,TRUE,Source URL and exact date added.
Haywood,Town of Clyde,municipal,adopted,moratorium,data centers,12 months,365,2026-04-16,,2027-04-16,TRUE,"Mayor Pro Tem Frank Lay: 'A year is sort of the outside limit of a moratorium where the purpose imposed is to allow us to do some research on the issue.' Water use, grid strain, noise, few jobs, limited tax contribution and tourism-economy risk cited.",https://smokymountainnews.com/news/item/41209-clyde-enacts-moratorium-as-broader-data-center-fight-builds,Smoky Mountain News,high,TRUE,TRUE,Source URL and exact date added.
Henderson,Henderson County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Henderson,City of Hendersonville,municipal,pending_vote,proposed moratorium,data centers,up to 12 months (proposed),365,,,,,"City attorney Angie Beeker said the ordinance 'is outdated and really isn't prepared to address' data centers' water, electricity and noise demands.",https://www.hendersonvillelightning.com/news/16142-local-governments-across-state-are-pausing-data-centers.html,Hendersonville Lightning / Times-News,medium-high,FALSE,TRUE,"NOT IN SOURCE DOC. Advanced to public hearing 2026-09-03; not adopted. Council action 2026-07-23. Beware Hendersonville, TENNESSEE in searches — this is Henderson County NC."
Hertford,Hertford County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Hoke,Hoke County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Hyde,Hyde County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Iredell,Iredell County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Iredell,City of Statesville,municipal,pending_second_reading,moratorium (first reading passed),data centers,180 days (proposed),180,2026-08-10,,2027-02-09,TRUE,"Planning Director Erika Martin noted the development code has no provisions addressing data centers; the pause would let the city review regulations, take community input and determine whether updates are needed.",https://www.statesvillenc.net/data-center/,City of Statesville (official),high,TRUE,TRUE,"First reading passed unanimously 2026-08-10, amended from 150 to 180 days. SECOND READING SCHEDULED 2026-09-14; not legally effective until then. Would not apply retroactively to the approved Compass Data Center on Stamey Farm Road. Iredell County itself has taken no action."
Jackson,Jackson County,county,adopted,moratorium,"data center development permits (zoning, development, building, demolition), related site plans, and rezoning for data center use",1 year,365,2026-08-18,,2027-08-18,FALSE,"Ordinance O2026-02 prohibits the county from issuing data center permits or rezoning property for data center use; terminable earlier by majority vote. Built-in schedule: staff review of other NC ordinances through Jan 2027, drafting by Feb 2027, planning board hearing by 2027-06-30.",https://www.jacksonnc.org/DocumentCenter/View/2254,Jackson County AgendaCenter / Sylva Herald / Smoky Mountain News,high,TRUE,TRUE,"ADOPTED 2026-08-18 — upgraded from 'proposed'. Ordinance O2026-02, unanimous (Commissioner Michael Jennings absent). Does not apply to already-permitted projects or those exempt under state law. EXPIRATION CONFIRMED 2026-08-29 from Ordinance O2026-02 itself: 'This Moratorium shall commence on August 18, 2026' / 'This Moratorium shall expire on August 18, 2027.' Satisfies the G.S. 160D-107(d)(3) termination-date requirement expressly."
Johnston,Johnston County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Jones,Jones County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Lee,Lee County,county,regulated_no_moratorium,UDO amendments instead of moratorium,,permanent regulations,,2026-04-20,,,,"Residents demanded a pause on a data center project, claiming deception.",https://ncnewsline.com/2026/07/15/lee-county-residents-demand-pause-on-data-center-claiming-deception/,NC Newsline,medium,TRUE,FALSE,"UPDATED 2026-08-28: Lee County adopted UDO amendments defining and regulating data centers on 2026-04-20 (City of Sanford 2026-04-21), explicitly instead of a moratorium. Harnett County cited Lee/Sanford's utility 'will serve' letter standard as its model. Residents had demanded a pause in July 2026."
Lee,City of Sanford,municipal,regulated_no_moratorium,UDO amendments instead of moratorium,data centers,permanent regulations,,2026-04-21,,,,,https://www.wral.com/news/local/central-north-carolina-data-center-plans-april-2026/,WRAL,medium,FALSE,TRUE,NOT IN SOURCE DOC. Sanford's utility 'will serve' letter standard was cited by Harnett County as its model.
Lenoir,Lenoir County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Lincoln,Lincoln County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Lincoln,City of Lincolnton,municipal,deferred,moratorium decision postponed,data centers,1 year (proposed),365,,,,,Council postponed a decision on the planning department's recommended one-year moratorium to a September 2026 meeting; Mayor Ed Hatley suggested possibly shortening any moratorium to 3-6 months and hiring a consultant.,https://www.lincolntimesnews.com/news/city-delays-decision-on-data-center-option/article_51ea16da-fc08-43d9-93a3-ef4190f93416.html,Lincoln Times-News,high,TRUE,TRUE,"CORRECTION: source doc says 'Voted against moratorium.' Actually a 3-1 vote on 2026-08-06 to POSTPONE, by the LINCOLNTON CITY COUNCIL (not Lincoln County commissioners). No up-or-down vote as of 2026-08-21. Watch the September 2026 meeting."
Macon,Macon County,county,regulated_no_moratorium,ordinance amendment instead of moratorium,"data centers (8am-5pm operating hours, no cargo-container/trailer operation, 750-foot setback)",permanent regulations,,2026-08-11,,,,"County Attorney Eric Ridenour: 'If you regulate it to the point that it's not going to happen, you're in a better, stronger legal position than if you take the moratorium.'",https://smokymountainnews.com/news/news-latest/macon-county-moves-to-restrict-data-centers/,Smoky Mountain News,high,FALSE,TRUE,"NOT IN SOURCE DOC. Adopted unanimously 2026-08-11 — regulation rather than moratorium, same category as Randolph and Salisbury. The Town of Franklin (in Macon County) separately adopted a 12-month moratorium 2026-07-06."
Macon,Town of Franklin,municipal,adopted,moratorium,data centers,1 year,365,2026-07-06,,2027-07-06,TRUE,"Town Attorney John Henning said existing zoning had no mechanism to regulate or prevent data centers: 'We would have been in a tough spot to prevent that from happening.' Goal is power/cooling controls, since state law bars an outright ban.",https://smokymountainnews.com/news/news-latest/franklin-approves-data-center-moratorium/,Smoky Mountain News,high,TRUE,TRUE,Source URL and exact date added. Ordinance No. 2026-002.
